,text,sentimen,clean_teks
1119,Bagus dan bersih serta aman dan nyaman.,positif,bagus bersih aman nyaman
1120,"Memuaskan, pesan kamar yang condotel studio, fasilitas seperti kamar apartement ada microwave, kulkas kecil, wastafel, meja makan kecil, kamar luas ada sofa panjang kamar mandi bath up, kolam renangnya juga besar. anak-anak sangat happy dan kalau ke bandung minta menginap lagi disini. Sangat recommended !!!",positif,muas pesan kamar condotel studio fasilitas kamar apartement microwave kulkas wastafel meja makan kamar luas sofa kamar mandi bath up kolam renang anakanak happy bandung inap recommended
1121,Good..bersih...sarapannya oke banget....cool sudah,positif,goodbersihsarapannya oke bangetcool
1122,"Pas hari pertama air panasnya tidak panas, wifi on off on off, terus telefon ke petugasnya akhirnya diperbaiki.. besoknya air panas udah oke dan wifi udah stabil, terus ada kejadian hp saya nyelip entah dimana pas selesai check out, dan dengan baik hati bapak manager anter saya ke kamar lagi untuk cek-cek semuanya, walapun tidak ketemu, tapi responsibility mereka oke, ohya di dalam hotel juga lengkap, ada alfamart dan toko2 lainnya,",positif,pas air panas panas wifi on off on off telefon tugas baik besok air panas udah oke wifi udah stabil jadi hp nyelip mana pas selesai check out hati manager anter kamar cekcek walapun ketemu responsibility oke ohya hotel lengkap alfamart toko
1123,Hotel nya bersih nyaman banget pokok nya recommended banget deh,positif,hotel nya bersih nyaman banget pokok nya recommended banget deh
1124,"Hotel sangat nyaman, mewah dan strategis di pusat kota Bandung",positif,hotel nyaman mewah strategis pusat kota bandung
1125,"Lokasi strategis, service dan makanannya memuaskan.",positif,lokasi strategis service makan muas
1126,Hotel yang bagus untuk liburan keluarga. Pertahankan dan tingkatkan.,positif,hotel bagus libur keluarga tahan tingkat
1127,Saya suka Saya suka Saya suka... apalagi anak Saya suka sekali menginap di hotel ini. Makan pagi nya juga enak banyak pilihan... kamar nya Besar....loby hotel nya keren banyak ikan anak Saya suka sekali. Terima kasih yah......,positif,suka suka suka anak suka inap hotel makan pagi nya enak pilih kamar nya besarloby hotel nya keren ikan anak suka terima kasih yah
1128,Hotelnya bagus nyaman bersih. Kamar luas.,positif,hotel bagus nyaman bersih kamar luas
1129,"Bagus, nyaman, bersih, kamarnya luas, dekat dengan pusat jajajanan, sarapannya enak.",positif,bagus nyaman bersih kamar luas pusat jajajanan sarap enak
1130,Hotelnya nyaman...bersih....interior lobbynya bagus,positif,hotel nyamanbersihinterior lobbynya bagus
1131,Sangat memuaskan sekali the best,positif,muas the best
1132,"Pelayanan cepat, kamar bersih, makanan room service enak",positif,layan cepat kamar bersih makan room service enak
1133,"Fasilasnya bagus, kolam renang, fitness-nya semua bagus. Sayang aja air kamar mandinya kurang panas.",positif,fasilasnya bagus kolam renang fitnessnya bagus sayang aja air kamar mandi panas
1134,"Mantap....pokonya hotel ini the best harga tidak mahal lingkungan tenang pelayanan prima ramah bersih dan ""Cool"" pokoe maknyus",positif,mantappokonya hotel the best harga mahal lingkung tenang layan prima ramah bersih cool pokoe maknyus
1135,Overall nyaman sih.. Menu breakfastnya juga enak.. Sayang tidak ada pilihan queen bed di kelas deluxe...,positif,overall nyaman sih menu breakfastnya enak sayang pilih queen bed kelas deluxe
1136,Tempat yang sangat nyaman dengan pelayanan yang oke dan makanan yang enak,positif,nyaman layan oke makan enak
1137,"Recommended untuk liburan keluarga, sarapannya enak dan menunya banyak pilihan..",positif,recommended libur keluarga sarap enak menu pilih
1138,Nyaman tenang suka dengan suasana hotel nya. Ada apotek ada minimarket,positif,nyaman tenang suka suasana hotel nya apotek minimarket
1139,Pelayanan dan makanan bagus recommended banget,positif,layan makan bagus recommended banget
1140,"Suka banget deh sama semuanya yang ada di hotel ini, recommended banget, pokoknya harus kesini lagi.",positif,suka banget deh hotel recommended banget pokok kesini
1141,Pelayanan yang baik dan ramah. Lokasi hotel yang strategis dan dekat dengan pusat pemerintahan kota Bandung,positif,layan ramah lokasi hotel strategis pusat perintah kota bandung
1142,"Kebersihan, kenyamanan, pelayanan, makanan, lokasi, good!",positif,bersih nyaman layan makan lokasi good
1143,"Ok, sangat bagus",positif,ok bagus
1144,"Mantap, tenang, cocok untuk liburan keluarga di tengah kota bandung.",positif,mantap tenang cocok libur keluarga kota bandung
1145,Sangat senang dan membantu urusan bisnis saya.,positif,senang bantu urus bisnis
1146,"Loby hotel mewah, kebetulan pesen merdeka twin tapi dapat kamar condotel studio.view swimming pool and city..kamarnya luas,kamar mandi bersih,.breakfastnya enak dan banyak pilihan.lokasi strategis,deket kemana-mana..pokoknya recommended...",positif,loby hotel mewah sen merdeka twin kamar condotel studioview swimming pool and citykamarnya luaskamar mandi bersihbreakfastnya enak pilihanlokasi strategisdeket kemanamanapokoknya recommended
1147,Oke banget buat liburan apalagi bersama keluarga,positif,oke banget libur keluarga
1148,Sangat memuaskan dan sangat nyaman.,positif,muas nyaman
1149,Semoga tetep terjaga kemanan dan kebersihan room-nya.,netral,moga tetep jaga keman bersih roomnya
1150,"Suasana hotel yang menyenangkan, bersih, pelayanan baik dan juga lokasi yang strategis.",positif,suasana hotel senang bersih layan lokasi strategis
1151,"Hotelnya bagus dan bersih, pelayanannya pun ramah, menu sarapan pagi yang ga bosenin (menu masakan khas jawa barat). recommended untuk hotel ini dikunjungi.",positif,hotel bagus bersih layan ramah menu sarap pagi ga bosenin menu masakan khas jawa barat recommended hotel kunjung
1152,Sangat senang sebagai tempat menginap,positif,senang inap
1153,Lokasi strategis di tengah kota jadi banyak tempat tongkrongan terutama di Braga. Overall Pelayanan yang diberikan cukup memuaskan jadi saya rekomendasi untuk hotel ini.,netral,lokasi strategis kota tongkrong braga overall layan muas rekomendasi hotel
1154,"Excellent : Ruangan Bersih,Lokasi Di Pusat Kota,Pelayanan Bagus",positif,excellent ruang bersihlokasi pusat kotapelayanan bagus
1155,"Good, tapi gelap banget.",positif,good gelap banget
1156,Sangat Bagus dan cocok utk Keluarga,positif,bagus cocok utk keluarga
1157,Hotel yg bersih.. nyaman.. servicenya memuaskan and lokasi strategis,positif,hotel yg bersih nyaman servicenya muas and lokasi strategis
1158,Hotel yang nyaman dan pas untuk moment apapun.,positif,hotel nyaman pas moment apa
1159,Setiap ke Bandung pasti menginap di grand royal panghegar...hotel yang nyaman buat liburan bersama keluarga..,positif,bandung inap grand royal panghegarhotel nyaman libur keluarga
1160,Hotel pilihan menginap di Bandung,netral,hotel pilih inap bandung
1161,"Area strategis, kamar bersih, pelayanan ramah dan sarapan banyak menunya.",positif,area strategis kamar bersih layan ramah sarap menu
1162,"Hotel sebelahan gereja katedral cocok bgt utk keluarga saya tdk makan wkt lama, breakfast byk variasi lmyn enak, swimming pool bsr & nyaman. Good hotel",positif,hotel belah gereja katedral cocok bgt utk keluarga tdk makan wkt breakfast byk variasi lmyn enak swimming pool bsr nyaman good hotel
1163,"Nyaman sekali, bersih, dan cantik",positif,nyaman bersih cantik
1164,"Saya sangat puas dengan service di Hotel Panghegar. Pelayanan ramah, cepat dan memuaskan. Recommended Banget",positif,puas service hotel panghegar layan ramah cepat muas recommended banget
1165,"Kamarnya bersih, dan tempatnya nyaman.. Makanannya juga enak.",positif,kamar bersih tempat nyaman makan enak
1166,"Kamarnya luas, kolam renang juga enak, anak-anak",positif,kamar luas kolam renang enak anakanak
1167,mantabbbbb bangetssssss lhoooooooo,positif,mantabbbbb bangetssssss lhoooooooo
1168,Sangat nyaman sekali dan tempatnya begitu strategis.,positif,nyaman tempat strategis
1169,"Hotelnya bagus, posisinya strategis, makanan nya enak, kolam renangnya bagus, kamarnya luas, cuman layoutnya perlu dipercantik untuk kamar yg tipe merdeka, agar tampilannya tidak kaku/monoton, secara keseluruhan bagus, nyaman buat keluarga",positif,hotel bagus posisi strategis makan nya enak kolam renang bagus kamar luas cuman layoutnya cantik kamar yg tipe merdeka tampil kakumonoton bagus nyaman keluarga
1170,Kolamnya ada air panas cocok untuk kota bandung yang rada dingin :),positif,kolam air panas cocok kota bandung rada dingin
1171,"Deket dari stasiun kereta api, kamarnya nyaman, bersih, anak2 paling suka swimming poolnya luas, keren deh, oh iya breakfastnya variatif & rasa enak.",positif,deket stasiun kereta api kamar nyaman bersih anak suka swimming poolnya luas keren deh oh iya breakfastnya variatif enak
1172,"Kami sekeluarga senang menginap di Grand Royal Panghegar , kolam renang bersih dan bagus, ketika minta pindah kamar karena anak saya ada yang takut ketinggian di layani dengan cepat. next time kami kembali lagi.",positif,keluarga senang inap grand royal panghegar kolam renang bersih bagus pindah kamar anak takut tinggi layan cepat next time
1173,Hotelnya nyaman apalagi kolam renangnya besar dan pelayanannya bagus. pokoknya top deh...Terus makanannya variasinya banyak dan enak-enak,positif,hotel nyaman kolam renang layan bagus pokok top dehterus makan variasi enakenak
1174,Saya dan anak-anak senang di kolam renang air hangatnya....terima kasih untuk waktu liburan kami yang menyenangkan.,positif,anakanak senang kolam renang air hangatnyaterima kasih libur senang
1175,Anak2 senang karena kolam renangnya besar ada air hangatnya jadi tidak kedinginan kl berenang.,positif,anak senang kolam renang air hangat dingin kl renang
1176,"Lokasi strategis, pelayanan ramah, nyaman..dan hotel keluarga banget.",positif,lokasi strategis layan ramah nyamandan hotel keluarga banget
1177,"Hotelnya bersih, kamarnya mantap, pelayanannya ok, nice breakfast, nyaman, pokoknya rekomen bgt, dekat ke jalan braga buat yang hobby jalan2 dan wisata kuliner",positif,hotel bersih kamar mantap layan ok nice breakfast nyaman pokok rekomen bgt jalan braga hobby jalan wisata kuliner
1178,Ini uda kunjungan kali kedua... tempt nya bagus dan luas...,positif,uda kunjung kali tempt nya bagus luas
1179,Secara umum memuaskan...setiap ke Bandung saya akan menginap di hotel ini.,positif,memuaskansetiap bandung inap hotel
1180,bersih luas tempatnya nyaman untuk liburan keluarga,positif,bersih luas tempat nyaman libur keluarga
1181,"Kamar bagus, bersih dan nyaman..",positif,kamar bagus bersih nyaman
1182,"Lokasinya strategis, dekat tempat2 makan dan wisata. Makanan di hotel juga enak, staffnya ramah dan sangat membantu.",positif,lokasi strategis makan wisata makan hotel enak staffnya ramah bantu
1183,sudah yang kedua x ... Dan semua memuaskan... Apalagi breakfast nya enak2 & banyak pilihan .. selalu jadi pilihan utama kalau jln2 ke bandung.. thanks Grand Royal Panghegar.. thanks Traveloka,positif,x muas breakfast nya enak pilih pilih utama jln bandung thanks grand royal panghegar thanks traveloka
1184,"Dekat dengan katedral, kamar nyaman.",positif,katedral kamar nyaman
1185,"Tempat yang bagus untuk staycation, memiliki suasana yang nyaman dan sangat direkomendasikan, El Hotel Bandung memiliki restoran & kamar tidur yang bagus.,",positif,bagus staycation milik suasana nyaman rekomendasi el hotel bandung milik restoran kamar tidur bagus
1186,"Staf yang ramah, kamar bersih, sarapan beragam dan lezat di ballroom (hotel mengubah tempat sarapan dari kafe Pakuan menjadi ballroom karena hunian hotel penuh, dan itu keputusan yang bagus), kolam air hangat. Staf di kolam renang mendekat dan dengan lembut mengingatkan orang-orang untuk menggunakan pakaian renang. Proses check in dan check out yang bagus. Terima kasih El Hotel, saya selalu kembali kepada Anda.",positif,staf ramah kamar bersih sarap agam lezat ballroom hotel ubah sarap kafe paku ballroom huni hotel penuh putus bagus kolam air hangat staf kolam renang dekat lembut orangorang pakai renang proses check in check out bagus terima kasih el hotel
1187,"Hotel yang bagus, direkomendasikan untuk semuanya.",positif,hotel bagus rekomendasi
1188,"Sarapannya enak, tapi nasi gorengnya sangat enak. Pasti akan menginap di sini lagi hanya untuk mencicipi nasi gorengnya yang enak 🥹. Tempat tidurnya bagus meskipun itu produk lokal. Secara keseluruhan sangat terkesan dengan semua fasilitasnya.",positif,sarap enak nasi goreng enak inap cicip nasi goreng enak tidur bagus produk lokal kes fasilitas
1189,"Tidak pernah mengeluh setiap kami menginap di hotel ini. Kerja bagus, pertahankan!",positif,keluh inap hotel kerja bagus tahan
1190,"Tempat bagus, makanan enak, dan suasana bagus.",positif,bagus makan enak suasana bagus
1191,"Ini adalah hotel favorit saya, sudah seperti rumah kedua saya, setiap kali kami ke Bandung kami selalu bermalam di sini. Pelayanan ramah, fasilitas lengkap, lokasi strategis, variasi makanan banyak. Fasilitas untuk anak-anak juga disediakan. Semoga kedepannya pelayanan dan fasilitas di kamar bisa di perbaharui lagi sehingga menjadi hotel terbaik di bandung.",positif,hotel favorit rumah kali bandung malam layan ramah fasilitas lengkap lokasi strategis variasi makan fasilitas anakanak sedia moga depan layan fasilitas kamar baharu hotel baik bandung
1192,Cukup sulit untuk menemukan pintu masuk lobi untuk pengatur waktu pertama seperti saya karena saya datang berjalan dari sisi lain dan tidak ada tanda yang muncul. Menginapnya bagus.,positif,sulit temu pintu masuk lobi atur jalan sisi tanda muncul inap bagus
1193,"Ini adalah hotel reguler kami, pertama kebersihan hotelnya sangat bagus, kemudian pelayanannya juga sangat ramah. Lokasi hotel strategis, ada kolam renang air hangat. Hotel ini sangat dianjurkan.",positif,hotel reguler bersih hotel bagus layan ramah lokasi hotel strategis kolam renang air hangat hotel anjur
1194,"Resepsionis sangat cepat, ramah dan profesional. Dia mengizinkan kami untuk check-in pada jam 12 siang karena kamarnya sudah siap sehingga kami dapat menaruh barang bawaan kami. Kamarnya sangat bersih.",positif,resepsionis cepat ramah profesional izin checkin jam siang kamar taruh barang bawa kamar bersih
1195,"Sangat menikmati, terima kasih el royale ❤.",positif,nikmat terima kasih el royale
1196,Staf memperlakukan kami dengan baik. Punya pasar super 24 jam. Buka puasa pagi itu menyenangkan. Tapi makanan mahal jika kita memesan sendiri. Kolam renang juga luar biasa. Merekomendasikan untuk tinggal di sini.,positif,staf laku pasar super jam buka puasa pagi senang makan mahal mes kolam renang rekomendasi tinggal
1197,"Housekeeping respon cepat, kamar bagus dan bagus, sarapan menyenangkan, layak untuk diklaim sebagai hotel bintang 4.",positif,housekeeping respon cepat kamar bagus bagus sarap senang layak klaim hotel bintang
1198,Happy staycation di El Hotel Royale Bandung. Sangat memuaskan. Terima kasih atas keramahannya ️,positif,happy staycation el hotel royale bandung muas terima kasih ramah
1199,"Semuanya begitu sempurna. Staf, sarapan, kolam renang, bahkan kamarnya sangat luas. Saya suka tinggal di sini, dan pasti akan kembali.",positif,sempurna staf sarap kolam renang kamar luas suka tinggal
1200,"Senang menginap di hotel ini. Hotel ini memiliki kolam besar, anak-anak sangat senang berenang. Sarapannya enak, menunya bervariasi. Ruangan itu besar dan memenuhi permintaan saya untuk tinggal di tingkat yang lebih tinggi. Terima kasih El Royale!",positif,senang inap hotel hotel milik kolam anakanak senang renang sarap enak menu variasi ruang penuh minta tinggal tingkat terima kasih el royale
1201,Kamarnya bersih dan sarapannya oke ada banyak pilihan dan rasanya oke.,positif,kamar bersih sarap oke pilih oke
1202,"Check-in mudah, ramah, makanan enak.",positif,checkin mudah ramah makan enak
1203,Penginapan ini sangat cocok untuk liburan keluarga. Lokasi strategis dengan fasilitas yang memadai pula. Kami menikmati kami tinggal di sini!,positif,inap cocok libur keluarga lokasi strategis fasilitas pada nikmat tinggal
1204,"Namun demikian, itu adalah liburan akhir pekan yang menyenangkan di él hotel Royale, Bandung. Dulu hotel ini dulu dikenal sebagai Panghegar, menjadi layanan yang lebih baik. Berada di sini untuk menikmati semua fasilitas dan keramahan. Salam.👍",positif,libur pekan senang l hotel royale bandung hotel kenal panghegar layan nikmat fasilitas ramah salam
1205,"Pengalaman menginap yang luar biasa di sini. Sangat nyaman. Sarapannya enak, banyak pilihan menunya. Keramahan yang luar biasa.",positif,alam inap nyaman sarap enak pilih menu ramah
1206,"Terima kasih atas keramahannya! Sebenarnya ini adalah kedua kalinya kami menginap di el hotel Royale Bandung dan selalu menjadi hotel favorit kami untuk menginap. Kami mencoba untuk menginap di Condotel Loft, Kami sudah memesan 2 kamar untuk 1 malam. Stafnya luar biasa, kolam renangnya bagus, sarapannya enak, terima kasih untuk semuanya. Itu adalah pengalaman menginap yang menyenangkan, pasti akan segera kembali.",positif,terima kasih ramah kali inap el hotel royale bandung hotel favorit inap coba inap condotel loft mes kamar malam staf kolam renang bagus sarap enak terima kasih alam inap senang
1207,Tempat yang bagus untuk liburan atau staycation.,positif,bagus libur staycation
1208,"Paket menginap 1 malam diubah menjadi 3 malam di pagi hari? Kamarnya luas, pegawainya ramah dan baik, menu sarapan pagi? Luar biasa. Ini di luar ekspektasi kami dengan harga yang kami bayar.",positif,paket inap malam ubah malam pagi kamar luas pegawai ramah menu sarap pagi ekspektasi harga bayar
1209,"selalu semangat untuk staycation disini .. semuanya baik-baik saja ,,",positif,semangat staycation baikbaik
1210,akan segera kembali lagi insyaallah,positif,insyaallah
1211,"Dua anak kecil saya sangat menikmati tinggal @hotel. Tempat yang luas & nyaman, dengan berbagai menu untuk sarapan. Senang tinggal di sini :)",positif,anak nikmat tinggal hotel luas nyaman menu sarap senang tinggal
1212,"Bagus, nyaman dan sejuk. Bagus untuk menginap bersama keluarga. Fasilitas lengkap dan bagus.",positif,bagus nyaman sejuk bagus inap keluarga fasilitas lengkap bagus
1213,"Tempatnya sangat bagus. Saya datang ke sini dua kali. Sangat puas dengan layanannya. Terima kasih banyak, éL Hotel Royale Bandung.",positif,tempat bagus kali puas layan terima kasih l hotel royale bandung
1214,"Keramahannya sangat baik, semua pekerja sangat baik dan sopan, sangat puas. Kamar dan makanannya enak. Sangat menikmati waktu saya & keluarga di éL Hotel Royale Bandung.",positif,ramah kerja sopan puas kamar makan enak nikmat keluarga l hotel royale bandung
1215,"Bagus banget untuk semua pelayanan, saya sangat senang menginap disini",positif,bagus banget layan senang inap
1216,"Tempat yang direkomendasikan untuk tinggal di Bandung, untuk bisnis atau liburan. Lokasi bagus dikelilingi oleh semua yang Anda butuhkan, makanan, taman, museum, pusat perbelanjaan. Fasilitas bagus seperti kolam renang, restoran, ATM, belum lagi ... Musholla yang sangat bagus untuk sholat muslim juga di sholat Jumat. Dekat dengan Jalan Braga sebagai Ikon Bandung dan banyak lainnya seperti pusat perbelanjaan, Taman, Museum hanya dengan berjalan kaki. Dan dalam situasi pandemi ini, protokol Covid 19 diterapkan dengan sesuai. terimakasih semuanya...",positif,rekomendasi tinggal bandung bisnis libur lokasi bagus keliling butuh makan taman museum pusat belanja fasilitas bagus kolam renang restoran atm musholla bagus sholat muslim sholat jumat jalan braga ikon bandung pusat belanja taman museum jalan kaki situasi pandemi protokol covid terap sesuai terimakasih
1217,Layanan bagus dan makanan enak,positif,layan bagus makan enak
1218,"semuanya baik tentang hotel ini, love it! 4thumbs up!",positif,hotel love it thumbs up
1219,"Layanan terbaik, kamar bersih, beragam sarapan 👍",positif,layan baik kamar bersih agam sarap
1220,sangat layak sebagai harga untuk Hotel bintang empat,positif,layak harga hotel bintang
1221,Sarapan sangat baik dan nyaman,positif,sarap nyaman
1222,"Saya punya sedikit masalah ketika menggunakan aplikasi ketika saya memesan kamar hotel. Saya tidak memperhatikan bahwa ada opsi antara 'bayar di hotel' atau bayar seperti biasa (transfer bank / kartu kredit / Bayar Nanti). Dalam hal ini, saya pikir saya telah membuat pemesanan dan membayar melalui Pay Later. Ketika saya tiba, saya diberitahu untuk membayar di hotel, yang membuat saya bingung karena saya percaya saya telah membayar melalui pembayaran nanti. Jadi saya membuat laporan ke agwnr, dan staf hotel sangat membantu. Mereka membantu saya untuk berbicara dengan agen yang saya tidak mengerti tentang fitur 'bayar di hotel' pada aplikasi mereka. Pada akhirnya, setelah satu jam, agen menyelesaikan masalah saya. El Royale memiliki kamar bagus, tempat tidur nyaman, lokasi bagus & sarapan luar biasa !! Tidak akan melupakan staf hotel yang sangat membantu saya. pasti akan kembali ke sana!",positif,aplikasi mes kamar hotel perhati opsi bayar hotel bayar transfer bank kartu kredit bayar pikir mesan bayar pay later diberitahu bayar hotel bingung percaya bayar bayar lapor agwnr staf hotel bantu bantu bicara agen erti fitur bayar hotel aplikasi jam agen selesai el royale milik kamar bagus tidur nyaman lokasi bagus sarap lupa staf hotel bantu
1223,"Saya bersenang-senang di sini. Lokasi sangat menakjubkan. Kamarnya luas dan sofanya sangat nyaman, kamu bisa tidur di situ. Para stafnya sangat ramah dan makanannya luar biasa lezat! Direkomendasikan untuk kunjungan jangka pendek atau panjang",positif,bersenangsenang lokasi takjub kamar luas sofa nyaman tidur situ staf ramah makan lezat rekomendasi kunjung jangka pendek
1224,Tampilan terbaik dan ruang layanan terbaik oleh hotel ... Dan akses ke hotel tidak ada lalu lintas,positif,tampil baik ruang layan baik hotel akses hotel lintas
1225,"Apa tinggal yang menyenangkan, baik dan membantu staf, lokasi bagus dan makanan enak.",positif,tinggal senang bantu staf lokasi bagus makan enak
1226,"Semuanya baik, sangat bagus dan nyaman. Sarapannya enak dan enak. resepsionis itu baik, ramah dan membantu.",positif,bagus nyaman sarap enak enak resepsionis ramah bantu
1227,"kamar, sarapan, dan layanan sangat baik!",positif,kamar sarap layan
1228,"Secara keseluruhan bagus, sarapan juga enak! Direkomendasikan untuk perjalanan bisnis",positif,bagus sarap enak rekomendasi jalan bisnis
1229,tempat terbaik di tengah kota,positif,baik kota
1230,"Staf yang efisien, hangat, dan sopan. Layanan bagus dan keamanan aman yang penting. Berbagai macam makanan untuk sarapan dan nampan makanan kosong diisi ulang dengan cepat. Suasana hotel yang bagus..💗💗",positif,staf efisien hangat sopan layan bagus aman aman makan sarap nampan makan kosong isi ulang cepat suasana hotel bagus
1231,"Waww tempat yang bagus untuk tinggal di akhir pekan bersama anggota keluarga. Pemandangan indah, layanan bagus, staf yang baik, terima kasih el royale :)",positif,waww bagus tinggal pekan anggota keluarga pandang indah layan bagus staf terima kasih el royale
1232,"ramah keluarga, fasilitas memuaskan, harga terjangkau, makanan enak, dan staf hotel ramah dekat braga fiod street",positif,ramah keluarga fasilitas muas harga jangkau makan enak staf hotel ramah braga fiod street
1233,Kondominium yang bagus. Kamarnya bersih. Kolam renangnya luar biasa. Dan sarapannya enak. Itu romantis namun santai,positif,kondominium bagus kamar bersih kolam renang sarap enak romantis santai
1234,"selalu senang tinggal di sini, meskipun TV dan chiller mati ketika kami pertama kali tiba di sini, kami menawarkan untuk pindah ke kamar lain dan itu lebih nyaman! mereka benar-benar menempatkan kenyamanan kita pada prioritas tertinggi",positif,senang tinggal tv chiller mati kali tawar pindah kamar nyaman benarbenar tempat nyaman prioritas tinggi
1235,"Kami akan kembali pada tanggal 2 November 2019, keluarga saya yang nyaman, El Royal Hotel bdg ... btw ke-2 adalah hari jadi pernikahan saya, tidak bisa menunggu kejutan atau pujian dari El Royal Hotel bdg 😆",negatif,tanggal november keluarga nyaman el royal hotel bdg nikah tunggu kejut puji el royal hotel bdg
1236,Ini adalah hotel paling nyaman yang pernah saya miliki di Bandung. Mendapat harga diskon dari penjualan epik traveloka dan saya tidak menyesalinya. luar biasa !!,positif,hotel nyaman milik bandung harga diskon jual epik traveloka sesal
1237,Saya pergi ke hotel ini untuk satu malam. dan itu adalah pengalaman hebat di sana. Saya akan datang lagi di kunjungan saya berikutnya ke Bandung,positif,pergi hotel malam alam hebat kunjung bandung
1238,Sangat direkomendasikan untuk liburan keluarga atau bisnis di El Royale Hotel Bandung! layanan dan fasilitasnya luar biasa!,positif,rekomendasi libur keluarga bisnis el royale hotel bandung layan fasilitas
1239,Itu adalah pengalaman yang sangat indah untuk menginap di eL Hotel Royal Bandung untuk keluarga kami!,positif,alam indah inap el hotel royal bandung keluarga
1240,"lokasi strategis, dekat jalan Braga dan mudah menemukan makan malam dari hotel, kamar bagus dan besar, lain kali akan kembali lagi. Terima kasih!",positif,lokasi strategis jalan braga mudah temu makan malam hotel kamar bagus kali terima kasih
1241,"tempat bagus, makanan enak, dan pelayanan bagus 👍",positif,bagus makan enak layan bagus
1242,"Sangat ramah, baik dan penuh senyum dari semua karyawan, thanx el royale.",positif,ramah penuh senyum karyawan thanx el royale
1243,"Itu adalah pengalaman hebat. proses check in mudah, layanannya sangat baik dan suasananya luar biasa. akan kembali lagi lain kali. Terima kasih.",positif,alam hebat proses check in mudah layan suasana kali terima kasih
1244,"Lokasi bagus (dekat dengan Braga Walk, 10 menit berkendara ke mal grosir terkenal - Pasar Baru). Staf yang ramah dan layanan yang sangat baik di meja penerima tamu. Semuanya cepat untuk check in dan check out.",positif,lokasi bagus braga walk menit kendara mal grosir kenal pasar staf ramah layan meja terima tamu cepat check in check out
1245,"Kolam renangnya luar biasa. Satu kolam besar untuk dewasa, satu kolam kecil untuk anak-anak dan satu kolam air hangat. Juga sarapan enak. Makanannya enak dan memiliki banyak variasi. Tidak ada keluhan untuk hotel yang luar biasa ini",positif,kolam renang kolam dewasa kolam anakanak kolam air hangat sarap enak makan enak milik variasi keluh hotel
1246,"hotel yang bagus untuk perjalanan keluarga. Saya memesan kamar junior, sangat luas. mereka juga memiliki kolam air hangat ..",positif,hotel bagus jalan keluarga mes kamar junior luas milik kolam air hangat
1247,"sangat memuaskan tinggal di sini .. fasilitas bagus seperti gym, kolam renang bersih dengan sisi air panas, dan minimarket di dalam hotel layanan staf adalah menu sarapan sangat baik memiliki banyak pilihan dengan selera yang baik lain kali akan tinggal di sini lagi",positif,muas tinggal fasilitas bagus gym kolam renang bersih sisi air panas minimarket hotel layan staf menu sarap milik pilih selera kali tinggal
1248,"Sangat nyaman dan mudah diakses untuk bekerja dan bepergian dalam waktu yang bersamaan, kondotel ini sangat direkomendasikan baik untuk keluarga maupun milenial",positif,nyaman mudah akses pergi sama kondotel rekomendasi keluarga milenial
1249,Saya akan sangat merekomendasikan hal ini kepada semua orang. Sangat menyenangkan tinggal di sini. Kamarnya bagus. Kemudahan layanan. Sarapannya enak! Pertahankan kerja bagus! 💞,positif,rekomendasi orang senang tinggal kamar bagus mudah layan sarap enak tahan kerja bagus
1250,"Kamar tampak seperti dalam gambar, Sarapan enak. Dan dekat dengan tujuan di sekitar Kota Bandung. Akan segera datang ke sini lagi",positif,kamar gambar sarap enak tuju kota bandung
1251,makanan yang baik dan fasilitas bagus lokasi bagus,positif,makan fasilitas bagus lokasi bagus
1252,"Sangat puas dengan layanan mereka, makanan, dan kamar yang nyaman. Tempat menginap yang direkomendasikan, Kami pasti akan kembali lagi.",positif,puas layan makan kamar nyaman inap rekomendasi
1253,"Sarapan adalah kamar yang lezat, sangat bersih",positif,sarap kamar lezat bersih
1254,"pelayanan bagus, makanan enak, kamar bersih, bagus",positif,layan bagus makan enak kamar bersih bagus
1255,"Saya suka tinggal di sini bersama keluarga saya, ini adalah hotel yang bagus. Terima kasih eL Royale Hotel Bandung",positif,suka tinggal keluarga hotel bagus terima kasih el royale hotel bandung
1256,"Saya memesan Hotel ini untuk ibuku untuk Hari Ibu. Tempatnya sangat bagus, sarapannya juga bagus dan aksesnya mudah ke Jl. Braga dan Jl. Riau yang terkenal dengan tempat terkenal di Bandung",positif,mes hotel ibu tempat bagus sarap bagus akses mudah jl braga jl riau kenal kenal bandung
1257,"Ini adalah hotel yang bagus dengan lokasi strategis, pemandangan indah, kamar luas (tipe condotel room), banyak pilihan pada menu sarapan, &amp; pelayanan yang baik ...",positif,hotel bagus lokasi strategis pandang indah kamar luas tipe condotel room pilih menu sarap amp layan
1258,"semua tentang hotel sangat bagus, terutama kolam renang dengan air hangat.",positif,hotel bagus kolam renang air hangat
1259,"kamar merdeka eksekutif sangat bagus, makanannya enak sekali, punya banyak tempat parkir, tidak jauh dari Walikota Offiice &amp; BIP Mall..Aku akan kembali lagi",positif,kamar merdeka eksekutif bagus makan enak parkir walikota offiice amp bip mallaku
1260,"Layanan hotel bagus, bersih, dan nyaman. Senang tinggal di El Royale Hotel Bandung.",positif,layan hotel bagus bersih nyaman senang tinggal el royale hotel bandung
1261,"Semua layanan hebat! Membersihkan kamar tidur &amp; kamar mandi, juga sarapan sangat bagus. Empat jempol tidak diragukan lagi!",positif,layan hebat bersih kamar tidur amp kamar mandi sarap bagus jempol ragu
